Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed
goose FN,4453,0,1.03,0.0,30,31,210
BadPing.ExE,238516,76,1.47,6.6,1145,1571,9942
Bomﱞb,385996,240,3.21,11.6,2070,5867,13499
Washed ŦLEXX 愛,412891,77,1.34,3.6,2112,2736,18310
Magɨc,180764,51,1.35,2.8,1836,2415,7363
Just Aqua,499089,206,1.57,8.2,2503,3606,19729
YTRubberduck,170614,6,0.3,0.6,1001,301,8505
Chulo-33,277968,29,1.33,1.8,1632,2136,11007
r3x4k0,509374,47,0.87,1.9,2488,2133,22351
T-REKTHØS,44853,9,0.87,1.1,831,715,1936
davidsb123,56115,1,0.84,0.2,468,394,2631
mcKarlus,100047,8,0.95,0.4,1961,1853,4231
DoorKey on OF,386715,72,1.11,2.8,2563,2776,17217
LIDEČKOVJAN PIČO,147862,10,1.2,0.7,1408,1678,5898
SticksIsHard,420034,59,1.69,2.7,2211,3634,16486
わいのショットガンは３０ダメージ,125116,52,2.29,5.1,1023,2224,4360
ᵀʷⁱᵗᶜʰRippersan,138999,23,1.35,1.6,1398,1860,5773
GeeCBee,432733,83,1.49,3.0,2795,4038,20253
Javi-Burgos,195279,22,0.58,1.8,1217,699,9732
im bloom,106294,26,2.03,3.5,736,1440,4470
